time,iv_30,noise
2019-12-30,,188.4650000000001
2019-12-31,18.8054,106.49000000000004
2020-01-01,18.641199999999998,58.916
2020-01-02,18.477,159.51899999999998
2020-01-03,18.9242,182.057
2020-01-04,19.983,26.282000000000004
2020-01-05,21.0418,51.51
2020-01-06,22.1006,226.533
2020-01-07,22.3983,241.398
2020-01-08,22.3701,200.76
2020-01-09,21.9818,199.327
2020-01-10,23.4995,174.17200000000005
2020-01-11,23.451533333333334,37.807
2020-01-12,23.403566666666666,26.278
2020-01-13,23.3556,164.81100000000004
2020-01-14,22.1513,194.197
2020-01-15,22.368,137.97500000000005
2020-01-16,22.45355,189.79100000000005
2020-01-17,22.5391,248.91900000000007
2020-01-18,23.036525,51.627
2020-01-19,23.53395,55.657
2020-01-20,24.031375,69.895
2020-01-21,24.5288,182.11600000000004
2020-01-22,24.5282,183.319
2020-01-23,26.8025,165.664
2020-01-24,25.8305,162.87000000000003
2020-01-25,26.537833333333335,45.214
2020-01-26,27.245166666666666,42.84100000000001
2020-01-27,27.9525,196.72099999999995
2020-01-28,25.7671,156.316
2020-01-29,25.0438,176.50899999999993
2020-01-30,25.3849,142.41000000000005
2020-01-31,31.4553,167.12500000000006
2020-02-01,32.20003333333334,82.73800000000001
2020-02-02,32.944766666666666,67.937
2020-02-03,33.6895,358.0859999999996
2020-02-04,20.8401,400.93799999999953
2020-02-05,22.7898,221.06200000000013
2020-02-06,19.9583,211.3739999999999
2020-02-07,20.5113,169.86499999999992
2020-02-08,20.82443333333333,33.623000000000005
2020-02-09,21.137566666666668,56.624
2020-02-10,21.4507,214.80900000000003
2020-02-11,21.3888,277.2459999999999
2020-02-12,18.8519,227.7210000000001
2020-02-13,18.6701,217.55200000000005
2020-02-14,17.2653,173.58200000000002
2020-02-15,17.580025,45.791
2020-02-16,17.894750000000002,55.851
2020-02-17,18.209475,84.29900000000002
2020-02-18,18.5242,180.30200000000008
2020-02-19,17.2411,237.20900000000003
2020-02-20,18.7967,236.0580000000001
2020-02-21,21.4402,244.94
2020-02-22,23.100233333333335,49.823
2020-02-23,24.760266666666666,40.386
2020-02-24,26.4203,219.81
2020-02-25,30.2987,203.65600000000003
2020-02-26,29.1944,173.55200000000005
2020-02-27,37.928,180.44300000000007
2020-02-28,42.3682,170.34600000000006
2020-02-29,39.01766666666667,61.49000000000001
2020-03-01,35.66713333333333,57.834
2020-03-02,32.3166,164.514
2020-03-03,36.5919,173.14600000000007
2020-03-04,29.4667,119.75200000000002
2020-03-05,42.1504,192.659
2020-03-06,45.6965,221.794
2020-03-07,48.74133333333334,55.972
2020-03-08,51.78616666666667,52.868
2020-03-09,54.831,245.45500000000004
2020-03-10,42.4737,203.667
2020-03-11,50.8885,230.76200000000009
2020-03-12,66.8215,241.834
2020-03-13,47.8277,248.87
2020-03-14,56.59453333333334,66.015
2020-03-15,65.36136666666667,105.90300000000003
2020-03-16,74.1282,245.5250000000001
2020-03-17,66.1205,257.7470000000001
2020-03-18,70.7447,198.912
2020-03-19,64.0374,147.91999999999996
2020-03-20,59.6777,147.31300000000005
2020-03-21,57.6286,59.78400000000002
2020-03-22,55.5795,75.46299999999995
2020-03-23,53.5304,163.81900000000007
2020-03-24,49.8084,173.79199999999997
2020-03-25,56.4094,176.76600000000002
2020-03-26,49.7738,162.16500000000002
2020-03-27,56.0895,150.26
2020-03-28,54.63466666666667,46.510000000000005
2020-03-29,53.179833333333335,77.30799999999998
2020-03-30,51.725,144.55700000000002
2020-03-31,47.8306,143.23700000000002
2020-04-01,54.2105,150.92099999999996
2020-04-02,51.1623,122.12900000000003
2020-04-03,48.758,135.82400000000004
2020-04-04,45.94266666666667,71.324
2020-04-05,43.12733333333333,66.043
2020-04-06,40.312,177.02100000000007
2020-04-07,41.9222,171.81300000000007
2020-04-08,39.4496,200.22600000000008
2020-04-09,38.8557,200.69
2020-04-10,39.03805,135.29200000000003
2020-04-11,39.2204,60.008
2020-04-12,39.40275,76.23599999999998
2020-04-13,39.5851,195.61399999999995
2020-04-14,38.4226,200.04100000000008
2020-04-15,41.0334,201.475
2020-04-16,42.7989,249.40200000000007
2020-04-17,40.5997,183.956
2020-04-18,41.23866666666667,69.602
2020-04-19,41.87763333333333,68.775
2020-04-20,42.5166,173.02900000000008
2020-04-21,46.0682,192.375
2020-04-22,42.8213,141.345
2020-04-23,40.7403,169.89100000000008
2020-04-24,38.3534,193.9170000000001
2020-04-25,37.685833333333335,80.33500000000001
2020-04-26,37.01826666666667,86.47799999999998
2020-04-27,36.3507,213.593
2020-04-28,35.9719,440.6729999999996
2020-04-29,27.2906,410.2619999999997
2020-04-30,28.6991,213.20500000000004
2020-05-01,31.2203,149.32100000000003
2020-05-02,30.872533333333333,39.389
2020-05-03,30.524766666666668,51.32300000000001
2020-05-04,30.177,167.73699999999997
2020-05-05,28.4984,172.00799999999998
2020-05-06,28.6949,202.3909999999999
2020-05-07,27.3747,239.62900000000005
2020-05-08,24.9458,190.3580000000001
2020-05-09,25.296666666666667,56.63
2020-05-10,25.64753333333333,65.10700000000001
2020-05-11,25.9984,184.21300000000005
2020-05-12,27.4051,221.927
2020-05-13,31.2542,211.532
2020-05-14,30.4269,213.661
2020-05-15,28.0743,277.07500000000005
2020-05-16,27.63726666666667,64.846
2020-05-17,27.200233333333333,72.04000000000002
2020-05-18,26.7632,192.81299999999987
2020-05-19,27.5274,201.52999999999992
2020-05-20,25.7915,213.01799999999997
2020-05-21,27.049,192.04299999999984
2020-05-22,25.8717,133.51400000000004
2020-05-23,25.84115,60.38600000000002
2020-05-24,25.8106,42.66599999999999
2020-05-25,25.780050000000003,68.032
2020-05-26,25.7495,145.90400000000002
2020-05-27,26.3066,175.99600000000007
2020-05-28,26.7661,226.91699999999992
2020-05-29,25.8414,165.154
2020-05-30,26.000766666666667,52.12900000000001
2020-05-31,26.160133333333334,58.98900000000002
2020-06-01,26.3195,189.14399999999972
2020-06-02,25.1765,135.13400000000007
2020-06-03,24.9743,193.1749999999999
2020-06-04,25.9601,194.706
2020-06-05,23.26,161.35400000000004
2020-06-06,23.716433333333335,57.473
2020-06-07,24.172866666666668,46.12200000000001
2020-06-08,24.6293,225.508
2020-06-09,27.1973,200.48199999999983
2020-06-10,26.6719,220.541
2020-06-11,33.4907,248.63799999999995
2020-06-12,30.7808,175.26499999999987
2020-06-13,30.2881,54.44500000000002
2020-06-14,29.7954,138.82600000000002
2020-06-15,29.3027,316.00399999999945
2020-06-16,28.8695,301.1979999999998
2020-06-17,29.0134,312.1329999999996
2020-06-18,29.3073,322.0539999999995
2020-06-19,28.4899,280.1379999999999
2020-06-20,28.223466666666667,129.606
2020-06-21,27.95703333333333,124.1580000000001
2020-06-22,27.6906,274.28299999999984
2020-06-23,28.1883,307.18999999999966
2020-06-24,31.8818,290.86099999999976
2020-06-25,31.7121,240.17899999999997
2020-06-26,37.1055,265.527
2020-06-27,36.530966666666664,149.928
2020-06-28,35.95643333333334,187.518
2020-06-29,35.3819,278.8999999999997
2020-06-30,34.1841,272.6389999999999
2020-07-01,33.4233,306.02399999999994
2020-07-02,32.4849,250.91800000000003
2020-07-03,32.96925,150.299
2020-07-04,33.4536,76.86800000000004
2020-07-05,33.93795,82.23999999999998
2020-07-06,34.4223,302.9539999999999
2020-07-07,35.0212,315.9149999999998
2020-07-08,36.0129,296.6169999999998
2020-07-09,36.7849,328.0189999999996
2020-07-10,38.1761,346.059
2020-07-11,39.05513333333333,157.883
2020-07-12,39.93416666666667,175.69599999999997
2020-07-13,40.8132,387.4449999999993
2020-07-14,40.7448,377.85699999999935
2020-07-15,41.0632,334.198
2020-07-16,40.0289,289.3659999999999
2020-07-17,36.1732,257.54500000000013
2020-07-18,36.18813333333333,178.40599999999998
2020-07-19,36.20306666666667,187.324
2020-07-20,36.218,355.02499999999964
2020-07-21,35.9439,361.9229999999997
2020-07-22,35.4356,334.7459999999997
2020-07-23,36.683,297.635
2020-07-24,35.6209,332.3579999999997
2020-07-25,35.40603333333333,220.10299999999987
2020-07-26,35.19116666666667,143.441
2020-07-27,34.9763,306.21699999999987
2020-07-28,34.6044,272.63300000000004
2020-07-29,33.9977,511.64099999999934
2020-07-30,32.573,786.7489999999977
2020-07-31,27.1311,594.1109999999991
2020-08-01,27.868766666666666,153.55100000000002
2020-08-02,28.606433333333335,108.90500000000004
2020-08-03,29.3441,467.96899999999926
2020-08-04,26.3027,316.2149999999996
2020-08-05,25.827,245.9309999999999
2020-08-06,26.2581,269.98
2020-08-07,27.4924,248.30999999999983
2020-08-08,27.2376,49.821
2020-08-09,26.9828,77.83600000000001
2020-08-10,26.728,328.41199999999964
2020-08-11,28.388,292.53899999999965
2020-08-12,25.828,391.88799999999947
2020-08-13,26.8581,327.6709999999995
2020-08-14,24.8639,343.37699999999995
2020-08-15,25.267033333333334,143.56400000000005
2020-08-16,25.670166666666667,102.78600000000006
2020-08-17,26.0733,318.8359999999998
2020-08-18,25.0948,344.2879999999999
2020-08-19,26.5869,377.0499999999996
2020-08-20,26.6531,327.06199999999967
2020-08-21,28.0705,319.6149999999999
2020-08-22,28.705,107.95100000000006
2020-08-23,29.3395,143.74500000000006
2020-08-24,29.974,311.57599999999974
2020-08-25,29.4084,322.9019999999998
2020-08-26,33.5834,459.6389999999994
2020-08-27,35.4263,422.2199999999995
2020-08-28,35.1504,262.7199999999998
2020-08-29,35.1376,131.80800000000002
2020-08-30,35.1248,96.02400000000009
2020-08-31,35.112,320.80699999999985
2020-09-01,35.4499,244.19699999999995
2020-09-02,37.1854,231.02
2020-09-03,48.3996,350.37099999999964
2020-09-04,44.9264,291.217
2020-09-05,44.130075000000005,130.05800000000002
2020-09-06,43.33375,116.35600000000008
2020-09-07,42.537425,171.08200000000008
2020-09-08,41.7411,306.8729999999998
2020-09-09,37.449,321.2239999999997
2020-09-10,36.4656,302.8939999999997
